JURISNAME,YEAR,count_Biofuel,count_Energy Storage,count_Natural Gas/Propane,count_Solar,count_Waste Gas,count_Wind,total_Biofuel,total_Energy Storage,total_Natural Gas/Propane,total_Solar,total_Waste Gas,total_Wind,GEOIDFQ
Bainbridge Village,2003,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2004,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2005,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2006,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2007,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2008,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2009,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2010,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2011,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2012,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2013,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2014,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2015,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2016,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2017,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2018,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2019,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2020,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,1600000US3903604
Bainbridge Village,2022,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Bainbridge Village,2023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.76,0.0,0.0,1600000US3903604
Bainbridge Village,2024,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903604
Baltimore Village,2000,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2001,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2002,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2003,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2004,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2005,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2006,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2007,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2008,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2009,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2010,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2011,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2012,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2013,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2014,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2015,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2016,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1600000US3903758
Baltimore Village,2018,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Baltimore Village,2019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,1600000US3903758
Baltimore Village,2020,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,1600000US3903758
Baltimore Village,2021,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,1600000US3903758
Baltimore Village,2022,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.14,0.0,0.0,1600000US3903758
Baltimore Village,2023,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.04,0.0,0.0,1600000US3903758
Baltimore Village,2024,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3903758
Bearfield Township,2000,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2001,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2002,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2003,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2004,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2005,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2006,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2007,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2008,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2009,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2010,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2011,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2012,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2013,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2014,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2015,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2016,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2017,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2018,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2019,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0700000US391270458499999
Bearfield Township,2020,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2021,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Bearfield Township,2022,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.990000000000002,0.0,0.0,0700000US391270458499999
Bearfield Township,2023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0700000US391270458499999
Bearfield Township,2024,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391270458499999
Belle Center Village,2000,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2001,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2002,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2003,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2004,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2005,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2006,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2007,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2008,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2009,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2010,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2011,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2012,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2013,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2014,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2015,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2016,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2017,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2018,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2019,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2020,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2021,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Belle Center Village,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,1600000US3905116
Belle Center Village,2023,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.75,0.0,0.0,1600000US3905116
Belle Center Village,2024,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905116
Bellefontaine City,2000,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2001,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2002,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2003,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2004,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2005,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2006,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2007,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2008,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2009,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2010,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1600000US3905130
Bellefontaine City,2012,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2013,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2014,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2015,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2016,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2017,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2018,0,0,0,0,0,0,0,0,0,0,0,0,1600000US3905130
Bellefontaine City,2019,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,1600000US3905130
Bellefontaine City,2020,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.06,0.0,0.0,1600000US3905130
Bellefontaine City,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,1600000US3905130
Bellefontaine City,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,1600000US3905130
Bellefontaine City,2023,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.91,0.0,0.0,1600000US3905130
Bellefontaine City,2024,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,43.84,0.0,0.0,1600000US3905130
Bennington Township,2000,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2000,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2001,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2001,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2002,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2002,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2003,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2003,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2004,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2004,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2005,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2005,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2006,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2006,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2007,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2007,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2008,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2008,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2009,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2009,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2010,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2010,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2011,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2011,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2012,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2012,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2013,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2013,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2014,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2014,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2015,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2015,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2016,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2016,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0700000US390890549499999
Bennington Township,2017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0700000US391170550899999
Bennington Township,2018,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2018,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2019,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2019,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2020,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0700000US390890549499999
Bennington Township,2020,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0700000US391170550899999
Bennington Township,2021,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2021,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2022,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390890549499999
Bennington Township,2022,0,0,0,0,0,0,0,0,0,0,0,0,0700000US391170550899999
Bennington Township,2023,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,7.6,0.0,0.0,0700000US390890549499999
Bennington Township,2023,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,7.6,0.0,0.0,0700000US391170550899999
Bennington Township,2024,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.910000000000004,0.0,0.0,0700000US390890549499999
Bennington Township,2024,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.910000000000004,0.0,0.0,0700000US391170550899999
Benton Township,2000,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2001,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2002,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2003,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2004,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2005,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2006,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2007,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2008,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2009,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2010,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2011,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2012,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2013,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2014,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2015,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0700000US390730557899999
Benton Township,2017,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2018,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2019,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2020,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2021,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2022,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2023,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Benton Township,2024,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390730557899999
Berkshire Township,2000,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2001,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2002,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2003,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2004,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2005,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2006,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2007,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2008,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2009,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2010,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2011,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2012,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2013,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0700000US390410577499999
Berkshire Township,2015,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2016,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2017,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410577499999
Berkshire Township,2018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0700000US390410577499999
Berkshire Township,2019,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,39.199999999999996,0.0,0.0,0700000US390410577499999
Berkshire Township,2020,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0700000US390410577499999
Berkshire Township,2021,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.880000000000003,0.0,0.0,0700000US390410577499999
Berkshire Township,2022,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,37.93,0.0,0.0,0700000US390410577499999
Berkshire Township,2023,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,64.38,0.0,0.0,0700000US390410577499999
Berkshire Township,2024,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,17.61,0.0,0.0,0700000US390410577499999
Berlin Township,2000,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2000,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2001,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2001,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2002,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2002,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2003,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2003,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2004,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2004,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2005,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2005,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2006,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2006,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2007,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2007,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2008,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2008,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2009,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.850000000000001,0.0,0.0,0700000US390410578899999
Berlin Township,2009,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.850000000000001,0.0,0.0,0700000US390830584499999
Berlin Township,2010,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2010,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2011,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2011,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2012,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2012,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0700000US390410578899999
Berlin Township,2013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0700000US390830584499999
Berlin Township,2014,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2014,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0700000US390410578899999
Berlin Township,2015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0700000US390830584499999
Berlin Township,2016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0700000US390410578899999
Berlin Township,2016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0700000US390830584499999
Berlin Township,2017,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390410578899999
Berlin Township,2017,0,0,0,0,0,0,0,0,0,0,0,0,0700000US390830584499999
Berlin Township,2018,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0700000US390410578899999
