County,COUNTYFP,Year,Technology,value
Delaware,39041,2014,count_Wind,0.0
Delaware,39041,2015,count_Wind,0.0
Delaware,39041,2016,count_Wind,0.0
Delaware,39041,2017,count_Wind,0.0
Delaware,39041,2018,count_Wind,0.0
Delaware,39041,2019,count_Wind,0.0
Delaware,39041,2020,count_Wind,1.0
Delaware,39041,2021,count_Wind,0.0
Delaware,39041,2022,count_Wind,0.0
Delaware,39041,2023,count_Wind,0.0
Delaware,39041,2024,count_Wind,1.0
Delaware,39041,2009,total_Biomass,0
Delaware,39041,2010,total_Biomass,0.0
Delaware,39041,2011,total_Biomass,0.0
Delaware,39041,2012,total_Biomass,0.0
Delaware,39041,2013,total_Biomass,0.0
Delaware,39041,2014,total_Biomass,0.0
Delaware,39041,2015,total_Biomass,0.0
Delaware,39041,2016,total_Biomass,0.0
Delaware,39041,2017,total_Biomass,0.0
Delaware,39041,2018,total_Biomass,0.0
Delaware,39041,2019,total_Biomass,0.0
Delaware,39041,2020,total_Biomass,0.0
Delaware,39041,2021,total_Biomass,0.0
Delaware,39041,2022,total_Biomass,0.0
Delaware,39041,2023,total_Biomass,0.0
Delaware,39041,2024,total_Biomass,0.0
Delaware,39041,2009,total_Captured Heat from Biologically Derived Methane Gas,0
Delaware,39041,2010,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2011,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2012,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2013,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2014,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2015,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2016,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2017,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2018,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2019,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2020,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2021,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2022,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2023,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2024,total_Captured Heat from Biologically Derived Methane Gas,0.0
Delaware,39041,2009,total_Hydroelectric,0
Delaware,39041,2010,total_Hydroelectric,0.0
Delaware,39041,2011,total_Hydroelectric,0.0
Delaware,39041,2012,total_Hydroelectric,0.0
Delaware,39041,2013,total_Hydroelectric,0.0
Delaware,39041,2014,total_Hydroelectric,0.0
Delaware,39041,2015,total_Hydroelectric,0.0
Delaware,39041,2016,total_Hydroelectric,0.0
Delaware,39041,2017,total_Hydroelectric,0.0
Delaware,39041,2018,total_Hydroelectric,0.0
Delaware,39041,2019,total_Hydroelectric,0.0
Delaware,39041,2020,total_Hydroelectric,0.0
Delaware,39041,2021,total_Hydroelectric,0.0
Delaware,39041,2022,total_Hydroelectric,0.0
Delaware,39041,2023,total_Hydroelectric,0.0
Delaware,39041,2024,total_Hydroelectric,0.0
Delaware,39041,2009,total_Solar Photovoltaic,0
Delaware,39041,2010,total_Solar Photovoltaic,0.46637
Delaware,39041,2011,total_Solar Photovoltaic,1.38571
Delaware,39041,2012,total_Solar Photovoltaic,0.20308500000000002
Delaware,39041,2013,total_Solar Photovoltaic,0.23489500000000002
Delaware,39041,2014,total_Solar Photovoltaic,0.10539
Delaware,39041,2015,total_Solar Photovoltaic,0.11434
Delaware,39041,2016,total_Solar Photovoltaic,0.22404000000000002
Delaware,39041,2017,total_Solar Photovoltaic,0.41034
Delaware,39041,2018,total_Solar Photovoltaic,0.09249
Delaware,39041,2019,total_Solar Photovoltaic,0.28685
Delaware,39041,2020,total_Solar Photovoltaic,0.09698
Delaware,39041,2021,total_Solar Photovoltaic,0.06112000000000001
Delaware,39041,2022,total_Solar Photovoltaic,0.075565
Delaware,39041,2023,total_Solar Photovoltaic,0.0713
Delaware,39041,2024,total_Solar Photovoltaic,0.5392399999999999
Delaware,39041,2009,total_Solid Waste,0
Delaware,39041,2010,total_Solid Waste,0.0
Delaware,39041,2011,total_Solid Waste,0.0
Delaware,39041,2012,total_Solid Waste,0.0
Delaware,39041,2013,total_Solid Waste,0.0
Delaware,39041,2014,total_Solid Waste,0.0
Delaware,39041,2015,total_Solid Waste,0.0
Delaware,39041,2016,total_Solid Waste,0.0
Delaware,39041,2017,total_Solid Waste,0.0
Delaware,39041,2018,total_Solid Waste,0.0
Delaware,39041,2019,total_Solid Waste,0.0
Delaware,39041,2020,total_Solid Waste,0.0
Delaware,39041,2021,total_Solid Waste,0.0
Delaware,39041,2022,total_Solid Waste,0.0
Delaware,39041,2023,total_Solid Waste,0.0
Delaware,39041,2024,total_Solid Waste,0.0
Delaware,39041,2009,total_Wind,0
Delaware,39041,2010,total_Wind,0.0
Delaware,39041,2011,total_Wind,0.0
Delaware,39041,2012,total_Wind,0.0
Delaware,39041,2013,total_Wind,0.0
Delaware,39041,2014,total_Wind,0.0
Delaware,39041,2015,total_Wind,0.0
Delaware,39041,2016,total_Wind,0.0
Delaware,39041,2017,total_Wind,0.0
Delaware,39041,2018,total_Wind,0.0
Delaware,39041,2019,total_Wind,0.0
Delaware,39041,2020,total_Wind,42.5
Delaware,39041,2021,total_Wind,0.0
Delaware,39041,2022,total_Wind,0.0
Delaware,39041,2023,total_Wind,0.0
Delaware,39041,2024,total_Wind,55.36
Fairfield,39045,2009,count_Biomass,0
Fairfield,39045,2010,count_Biomass,0.0
Fairfield,39045,2011,count_Biomass,0.0
Fairfield,39045,2012,count_Biomass,0.0
Fairfield,39045,2013,count_Biomass,0.0
Fairfield,39045,2014,count_Biomass,0.0
Fairfield,39045,2015,count_Biomass,0.0
Fairfield,39045,2016,count_Biomass,0.0
Fairfield,39045,2017,count_Biomass,0.0
Fairfield,39045,2018,count_Biomass,0.0
Fairfield,39045,2019,count_Biomass,0
Fairfield,39045,2020,count_Biomass,0
Fairfield,39045,2021,count_Biomass,0.0
Fairfield,39045,2022,count_Biomass,0.0
Fairfield,39045,2023,count_Biomass,0.0
Fairfield,39045,2024,count_Biomass,0.0
Fairfield,39045,2009,count_Captured Heat from Biologically Derived Methane Gas,0
Fairfield,39045,2010,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2011,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2012,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2013,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2014,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2015,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2016,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2017,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2018,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2019,count_Captured Heat from Biologically Derived Methane Gas,0
Fairfield,39045,2020,count_Captured Heat from Biologically Derived Methane Gas,0
Fairfield,39045,2021,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2022,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2023,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2024,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2009,count_Hydroelectric,0
Fairfield,39045,2010,count_Hydroelectric,0.0
Fairfield,39045,2011,count_Hydroelectric,0.0
Fairfield,39045,2012,count_Hydroelectric,0.0
Fairfield,39045,2013,count_Hydroelectric,0.0
Fairfield,39045,2014,count_Hydroelectric,0.0
Fairfield,39045,2015,count_Hydroelectric,0.0
Fairfield,39045,2016,count_Hydroelectric,0.0
Fairfield,39045,2017,count_Hydroelectric,0.0
Fairfield,39045,2018,count_Hydroelectric,0.0
Fairfield,39045,2019,count_Hydroelectric,0
Fairfield,39045,2020,count_Hydroelectric,0
Fairfield,39045,2021,count_Hydroelectric,0.0
Fairfield,39045,2022,count_Hydroelectric,0.0
Fairfield,39045,2023,count_Hydroelectric,0.0
Fairfield,39045,2024,count_Hydroelectric,0.0
Fairfield,39045,2009,count_Solar Photovoltaic,0
Fairfield,39045,2010,count_Solar Photovoltaic,1.0
Fairfield,39045,2011,count_Solar Photovoltaic,2.0
Fairfield,39045,2012,count_Solar Photovoltaic,4.0
Fairfield,39045,2013,count_Solar Photovoltaic,7.0
Fairfield,39045,2014,count_Solar Photovoltaic,3.0
Fairfield,39045,2015,count_Solar Photovoltaic,1.0
Fairfield,39045,2016,count_Solar Photovoltaic,4.0
Fairfield,39045,2017,count_Solar Photovoltaic,4.0
Fairfield,39045,2018,count_Solar Photovoltaic,1.0
Fairfield,39045,2019,count_Solar Photovoltaic,0
Fairfield,39045,2020,count_Solar Photovoltaic,0
Fairfield,39045,2021,count_Solar Photovoltaic,1.0
Fairfield,39045,2022,count_Solar Photovoltaic,4.0
Fairfield,39045,2023,count_Solar Photovoltaic,7.0
Fairfield,39045,2024,count_Solar Photovoltaic,37.0
Fairfield,39045,2009,count_Solid Waste,0
Fairfield,39045,2010,count_Solid Waste,0.0
Fairfield,39045,2011,count_Solid Waste,0.0
Fairfield,39045,2012,count_Solid Waste,0.0
Fairfield,39045,2013,count_Solid Waste,0.0
Fairfield,39045,2014,count_Solid Waste,0.0
Fairfield,39045,2015,count_Solid Waste,0.0
Fairfield,39045,2016,count_Solid Waste,0.0
Fairfield,39045,2017,count_Solid Waste,0.0
Fairfield,39045,2018,count_Solid Waste,0.0
Fairfield,39045,2019,count_Solid Waste,0
Fairfield,39045,2020,count_Solid Waste,0
Fairfield,39045,2021,count_Solid Waste,0.0
Fairfield,39045,2022,count_Solid Waste,0.0
Fairfield,39045,2023,count_Solid Waste,0.0
Fairfield,39045,2024,count_Solid Waste,0.0
Fairfield,39045,2009,count_Wind,0
Fairfield,39045,2010,count_Wind,0.0
Fairfield,39045,2011,count_Wind,0.0
Fairfield,39045,2012,count_Wind,0.0
Fairfield,39045,2013,count_Wind,0.0
Fairfield,39045,2014,count_Wind,0.0
Fairfield,39045,2015,count_Wind,0.0
Fairfield,39045,2016,count_Wind,0.0
Fairfield,39045,2017,count_Wind,0.0
Fairfield,39045,2018,count_Wind,0.0
Fairfield,39045,2019,count_Wind,0
Fairfield,39045,2020,count_Wind,0
Fairfield,39045,2021,count_Wind,0.0
Fairfield,39045,2022,count_Wind,0.0
Fairfield,39045,2023,count_Wind,0.0
Fairfield,39045,2024,count_Wind,0.0
Fairfield,39045,2009,total_Biomass,0
Fairfield,39045,2010,total_Biomass,0.0
Fairfield,39045,2011,total_Biomass,0.0
Fairfield,39045,2012,total_Biomass,0.0
Fairfield,39045,2013,total_Biomass,0.0
Fairfield,39045,2014,total_Biomass,0.0
Fairfield,39045,2015,total_Biomass,0.0
Fairfield,39045,2016,total_Biomass,0.0
Fairfield,39045,2017,total_Biomass,0.0
Fairfield,39045,2018,total_Biomass,0.0
Fairfield,39045,2019,total_Biomass,0
Fairfield,39045,2020,total_Biomass,0
Fairfield,39045,2021,total_Biomass,0.0
Fairfield,39045,2022,total_Biomass,0.0
Fairfield,39045,2023,total_Biomass,0.0
Fairfield,39045,2024,total_Biomass,0.0
Fairfield,39045,2009,total_Captured Heat from Biologically Derived Methane Gas,0
Fairfield,39045,2010,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2011,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2012,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2013,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2014,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2015,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2016,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2017,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2018,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2019,total_Captured Heat from Biologically Derived Methane Gas,0
Fairfield,39045,2020,total_Captured Heat from Biologically Derived Methane Gas,0
Fairfield,39045,2021,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2022,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2023,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2024,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fairfield,39045,2009,total_Hydroelectric,0
Fairfield,39045,2010,total_Hydroelectric,0.0
Fairfield,39045,2011,total_Hydroelectric,0.0
Fairfield,39045,2012,total_Hydroelectric,0.0
Fairfield,39045,2013,total_Hydroelectric,0.0
Fairfield,39045,2014,total_Hydroelectric,0.0
Fairfield,39045,2015,total_Hydroelectric,0.0
Fairfield,39045,2016,total_Hydroelectric,0.0
Fairfield,39045,2017,total_Hydroelectric,0.0
Fairfield,39045,2018,total_Hydroelectric,0.0
Fairfield,39045,2019,total_Hydroelectric,0
Fairfield,39045,2020,total_Hydroelectric,0
Fairfield,39045,2021,total_Hydroelectric,0.0
Fairfield,39045,2022,total_Hydroelectric,0.0
Fairfield,39045,2023,total_Hydroelectric,0.0
Fairfield,39045,2024,total_Hydroelectric,0.0
Fairfield,39045,2009,total_Solar Photovoltaic,0
Fairfield,39045,2010,total_Solar Photovoltaic,0.0054
Fairfield,39045,2011,total_Solar Photovoltaic,0.01945
Fairfield,39045,2012,total_Solar Photovoltaic,0.05886
Fairfield,39045,2013,total_Solar Photovoltaic,0.050420000000000006
Fairfield,39045,2014,total_Solar Photovoltaic,0.02683
Fairfield,39045,2015,total_Solar Photovoltaic,0.01053
Fairfield,39045,2016,total_Solar Photovoltaic,0.04519
Fairfield,39045,2017,total_Solar Photovoltaic,0.051859999999999996
Fairfield,39045,2018,total_Solar Photovoltaic,0.65727
Fairfield,39045,2019,total_Solar Photovoltaic,0
Fairfield,39045,2020,total_Solar Photovoltaic,0
Fairfield,39045,2021,total_Solar Photovoltaic,0.0128
Fairfield,39045,2022,total_Solar Photovoltaic,0.046985
Fairfield,39045,2023,total_Solar Photovoltaic,0.056455
Fairfield,39045,2024,total_Solar Photovoltaic,0.41456
Fairfield,39045,2009,total_Solid Waste,0
Fairfield,39045,2010,total_Solid Waste,0.0
Fairfield,39045,2011,total_Solid Waste,0.0
Fairfield,39045,2012,total_Solid Waste,0.0
Fairfield,39045,2013,total_Solid Waste,0.0
Fairfield,39045,2014,total_Solid Waste,0.0
Fairfield,39045,2015,total_Solid Waste,0.0
Fairfield,39045,2016,total_Solid Waste,0.0
Fairfield,39045,2017,total_Solid Waste,0.0
Fairfield,39045,2018,total_Solid Waste,0.0
Fairfield,39045,2019,total_Solid Waste,0
Fairfield,39045,2020,total_Solid Waste,0
Fairfield,39045,2021,total_Solid Waste,0.0
Fairfield,39045,2022,total_Solid Waste,0.0
Fairfield,39045,2023,total_Solid Waste,0.0
Fairfield,39045,2024,total_Solid Waste,0.0
Fairfield,39045,2009,total_Wind,0
Fairfield,39045,2010,total_Wind,0.0
Fairfield,39045,2011,total_Wind,0.0
Fairfield,39045,2012,total_Wind,0.0
Fairfield,39045,2013,total_Wind,0.0
Fairfield,39045,2014,total_Wind,0.0
Fairfield,39045,2015,total_Wind,0.0
Fairfield,39045,2016,total_Wind,0.0
Fairfield,39045,2017,total_Wind,0.0
Fairfield,39045,2018,total_Wind,0.0
Fairfield,39045,2019,total_Wind,0
Fairfield,39045,2020,total_Wind,0
Fairfield,39045,2021,total_Wind,0.0
Fairfield,39045,2022,total_Wind,0.0
Fairfield,39045,2023,total_Wind,0.0
Fairfield,39045,2024,total_Wind,0.0
Fayette,39047,2009,count_Biomass,0.0
Fayette,39047,2010,count_Biomass,0.0
Fayette,39047,2011,count_Biomass,0.0
Fayette,39047,2012,count_Biomass,0.0
Fayette,39047,2013,count_Biomass,0.0
Fayette,39047,2014,count_Biomass,0.0
Fayette,39047,2015,count_Biomass,0.0
Fayette,39047,2016,count_Biomass,0.0
Fayette,39047,2017,count_Biomass,0.0
Fayette,39047,2018,count_Biomass,0.0
Fayette,39047,2019,count_Biomass,0.0
Fayette,39047,2020,count_Biomass,0.0
Fayette,39047,2021,count_Biomass,0.0
Fayette,39047,2022,count_Biomass,0.0
Fayette,39047,2023,count_Biomass,0.0
Fayette,39047,2024,count_Biomass,0.0
Fayette,39047,2009,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2010,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2011,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2012,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2013,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2014,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2015,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2016,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2017,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2018,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2019,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2020,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2021,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2022,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2023,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2024,count_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2009,count_Hydroelectric,0.0
Fayette,39047,2010,count_Hydroelectric,0.0
Fayette,39047,2011,count_Hydroelectric,0.0
Fayette,39047,2012,count_Hydroelectric,0.0
Fayette,39047,2013,count_Hydroelectric,1.0
Fayette,39047,2014,count_Hydroelectric,0.0
Fayette,39047,2015,count_Hydroelectric,0.0
Fayette,39047,2016,count_Hydroelectric,0.0
Fayette,39047,2017,count_Hydroelectric,0.0
Fayette,39047,2018,count_Hydroelectric,0.0
Fayette,39047,2019,count_Hydroelectric,0.0
Fayette,39047,2020,count_Hydroelectric,0.0
Fayette,39047,2021,count_Hydroelectric,0.0
Fayette,39047,2022,count_Hydroelectric,0.0
Fayette,39047,2023,count_Hydroelectric,0.0
Fayette,39047,2024,count_Hydroelectric,0.0
Fayette,39047,2009,count_Solar Photovoltaic,1.0
Fayette,39047,2010,count_Solar Photovoltaic,4.0
Fayette,39047,2011,count_Solar Photovoltaic,10.0
Fayette,39047,2012,count_Solar Photovoltaic,6.0
Fayette,39047,2013,count_Solar Photovoltaic,1.0
Fayette,39047,2014,count_Solar Photovoltaic,3.0
Fayette,39047,2015,count_Solar Photovoltaic,13.0
Fayette,39047,2016,count_Solar Photovoltaic,5.0
Fayette,39047,2017,count_Solar Photovoltaic,2.0
Fayette,39047,2018,count_Solar Photovoltaic,3.0
Fayette,39047,2019,count_Solar Photovoltaic,1.0
Fayette,39047,2020,count_Solar Photovoltaic,14.0
Fayette,39047,2021,count_Solar Photovoltaic,2.0
Fayette,39047,2022,count_Solar Photovoltaic,2.0
Fayette,39047,2023,count_Solar Photovoltaic,3.0
Fayette,39047,2024,count_Solar Photovoltaic,2.0
Fayette,39047,2009,count_Solid Waste,0.0
Fayette,39047,2010,count_Solid Waste,0.0
Fayette,39047,2011,count_Solid Waste,0.0
Fayette,39047,2012,count_Solid Waste,0.0
Fayette,39047,2013,count_Solid Waste,0.0
Fayette,39047,2014,count_Solid Waste,0.0
Fayette,39047,2015,count_Solid Waste,0.0
Fayette,39047,2016,count_Solid Waste,0.0
Fayette,39047,2017,count_Solid Waste,0.0
Fayette,39047,2018,count_Solid Waste,0.0
Fayette,39047,2019,count_Solid Waste,0.0
Fayette,39047,2020,count_Solid Waste,0.0
Fayette,39047,2021,count_Solid Waste,0.0
Fayette,39047,2022,count_Solid Waste,0.0
Fayette,39047,2023,count_Solid Waste,0.0
Fayette,39047,2024,count_Solid Waste,0.0
Fayette,39047,2009,count_Wind,0.0
Fayette,39047,2010,count_Wind,0.0
Fayette,39047,2011,count_Wind,0.0
Fayette,39047,2012,count_Wind,1.0
Fayette,39047,2013,count_Wind,0.0
Fayette,39047,2014,count_Wind,0.0
Fayette,39047,2015,count_Wind,0.0
Fayette,39047,2016,count_Wind,0.0
Fayette,39047,2017,count_Wind,0.0
Fayette,39047,2018,count_Wind,0.0
Fayette,39047,2019,count_Wind,0.0
Fayette,39047,2020,count_Wind,0.0
Fayette,39047,2021,count_Wind,0.0
Fayette,39047,2022,count_Wind,0.0
Fayette,39047,2023,count_Wind,0.0
Fayette,39047,2024,count_Wind,0.0
Fayette,39047,2009,total_Biomass,0.0
Fayette,39047,2010,total_Biomass,0.0
Fayette,39047,2011,total_Biomass,0.0
Fayette,39047,2012,total_Biomass,0.0
Fayette,39047,2013,total_Biomass,0.0
Fayette,39047,2014,total_Biomass,0.0
Fayette,39047,2015,total_Biomass,0.0
Fayette,39047,2016,total_Biomass,0.0
Fayette,39047,2017,total_Biomass,0.0
Fayette,39047,2018,total_Biomass,0.0
Fayette,39047,2019,total_Biomass,0.0
Fayette,39047,2020,total_Biomass,0.0
Fayette,39047,2021,total_Biomass,0.0
Fayette,39047,2022,total_Biomass,0.0
Fayette,39047,2023,total_Biomass,0.0
Fayette,39047,2024,total_Biomass,0.0
Fayette,39047,2009,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2010,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2011,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2012,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2013,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2014,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2015,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2016,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2017,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2018,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2019,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2020,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2021,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2022,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2023,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2024,total_Captured Heat from Biologically Derived Methane Gas,0.0
Fayette,39047,2009,total_Hydroelectric,0.0
Fayette,39047,2010,total_Hydroelectric,0.0
Fayette,39047,2011,total_Hydroelectric,0.0
Fayette,39047,2012,total_Hydroelectric,0.0
Fayette,39047,2013,total_Hydroelectric,5.45
Fayette,39047,2014,total_Hydroelectric,0.0
Fayette,39047,2015,total_Hydroelectric,0.0
Fayette,39047,2016,total_Hydroelectric,0.0
